date,Artificial Intelligence,Data Science,Machine Learning,Cloud Computing,Cybersecurity
2021-02-28,11,14,17,7,5
2021-03-07,10,14,16,6,6
2021-03-14,10,14,17,7,5
2021-03-21,10,14,16,7,5
2021-03-28,9,13,16,6,5
2021-04-04,9,14,17,6,5
2021-04-11,10,14,16,5,6
2021-04-18,10,15,17,6,6
2021-04-25,10,14,16,6,5
2021-05-02,10,14,16,6,6
2021-05-09,9,15,16,6,7
2021-05-16,9,15,16,6,6
2021-05-23,10,15,17,6,6
2021-05-30,10,14,16,6,7
2021-06-06,10,15,17,7,6
2021-06-13,10,15,17,7,6
2021-06-20,10,15,16,6,6
2021-06-27,10,14,16,7,6
2021-07-04,10,14,15,6,6
2021-07-11,10,15,17,6,6
2021-07-18,10,15,17,6,6
2021-07-25,10,15,16,6,6
2021-08-01,9,14,15,6,6
2021-08-08,9,15,15,6,6
2021-08-15,9,15,16,6,6
2021-08-22,11,16,15,6,7
2021-08-29,9,15,15,6,7
2021-09-05,10,15,16,6,6
2021-09-12,11,17,17,7,7
2021-09-19,10,16,16,7,7
2021-09-26,10,16,17,7,8
2021-10-03,11,16,18,7,8
2021-10-10,10,15,17,6,7
2021-10-17,11,16,17,7,7
2021-10-24,11,16,18,7,7
2021-10-31,10,13,15,6,7
2021-11-07,11,16,18,7,7
2021-11-14,12,17,19,8,7
2021-11-21,11,15,18,8,6
2021-11-28,12,17,18,8,7
2021-12-05,11,16,18,7,8
2021-12-12,11,16,17,7,8
2021-12-19,10,14,16,6,6
2021-12-26,8,13,15,5,6
2022-01-02,12,20,20,8,7
2022-01-09,11,20,22,8,7
2022-01-16,11,19,20,8,7
2022-01-23,12,23,23,9,8
2022-01-30,12,20,23,9,8
2022-02-06,13,19,24,9,9
2022-02-13,15,24,26,11,9
2022-02-20,14,22,26,10,10
2022-02-27,14,22,24,10,10
2022-03-06,13,21,25,11,9
2022-03-13,13,22,25,10,9
2022-03-20,13,22,27,10,10
2022-03-27,14,23,27,10,10
2022-04-03,14,23,27,10,9
2022-04-10,13,21,24,8,9
2022-04-17,14,23,27,10,10
2022-04-24,14,24,27,10,10
2022-05-01,13,21,27,9,9
2022-05-08,13,23,29,10,10
2022-05-15,12,21,26,9,9
2022-05-22,13,22,26,9,9
2022-05-29,12,19,24,8,9
2022-06-05,12,21,25,9,8
2022-06-12,14,21,26,9,9
2022-06-19,15,23,26,9,9
2022-06-26,14,22,24,9,9
2022-07-03,12,22,24,9,9
2022-07-10,12,23,23,8,9
2022-07-17,13,22,24,8,9
2022-07-24,12,23,24,8,9
2022-07-31,12,23,22,8,9
2022-08-07,12,23,22,7,9
2022-08-14,12,23,22,8,9
2022-08-21,13,25,24,9,10
2022-08-28,12,24,23,9,10
2022-09-04,13,23,25,8,10
2022-09-11,15,26,26,10,11
2022-09-18,15,23,27,10,11
2022-09-25,14,24,25,10,11
2022-10-02,12,21,24,8,11
2022-10-09,14,24,26,10,11
2022-10-16,14,23,26,9,11
2022-10-23,13,21,24,8,11
2022-10-30,14,22,26,9,10
2022-11-06,14,23,27,9,10
2022-11-13,14,24,28,10,10
2022-11-20,13,19,25,10,8
2022-11-27,14,21,24,10,10
2022-12-04,17,20,28,11,10
2022-12-11,16,21,27,9,10
